789163,11,118:177:213:267:676:940:1518:1667:3294:3772:4049:4335:4388:4871:5049:5239:5364:6032:7442:8405:8817:9974
347431,130,542:625:820:935:2156:2606:2892:3657:4090:4264:4837:5041:5423:5598:6603:6628:6828:6941:6995:7739:7946:8479:9111:9577
12382,138,37:138:221:337:413:854:1059:1570:1594:1605:2053:3071:3261:4386:4559:4944:4972:5253:5714:5803:6249:6390:6536:6704:6796:6808:7667:7718:7916:8254:8275:8898:9522:9592
1148857,133,278:498:982:1442:1851:3263:4565:5247:5635:5818:5951:6081:6254:6300:6557:7152:7229:7682
726893,378,82:203:509:580:587:613:772:1102:1107:1510:1835:1973:2443:2564:2749:2821:2915:2956:2959:3127:3166:3265:3304:3605:3613:4442:4511:4565:4648:4662:4749:4781:4894:4983:5113:5127:5206:5229:5335:5530:5546:5561:6034:6481:6626:6724:6882:6909:7184:7436:7455:7557:7604:7688:7704:7726:7790:7836:7932:7962:8228:8372:8573:8624:8872:8903:9074:9089:9185:9220:9266:9300:9449
992977,362,735:1100:2340:2849:2982:3243:3261:3651:3654:4856:5697:6060:6154:6158:6401:7021:9359:9485:9752
464918,125,118:408:493:518:527:820:850:1284:1479:1528:2206:2323:2437:2455:2514:2606:2960:3313:3726:3983:4199:4264:4391:4598:4903:5143:5174:5526:5559:5750:5862:5917:5961:7127:7315:7522:8073:8099:8263:8335:8437:8513:8716:8921
1575324,138,37:138:221:337:413:854:1059:1570:1594:1605:2053:3071:3261:4386:4559:4944:4972:5253:5714:5803:6249:6390:6536:6704:6796:6808:7667:7718:7916:8254:8275:8898:9522:9592
1320693,82,34:41:184:240:244:278:321:326:480:635:731:799:891:1135:1183:1285:2322:2355:2492:2648:3315:3384:3418:3536:3606:3658:3757:4010:4014:4039:4062:4207:4298:4334:4497:4565:4769:5034:5210:5314:5351:5736:5841:5845:5884:5898:6072:6534:6754:6896:7350:7377:7679:7768:7852:7883:7963:7998:8300:8498:8817:8851:8879:9137:9279:9398:9884
394076,125,118:408:493:518:527:820:850:1284:1479:1528:2206:2323:2437:2455:2514:2606:2960:3313:3726:3983:4199:4264:4391:4598:4903:5143:5174:5526:5559:5750:5862:5917:5961:7127:7315:7522:8073:8099:8263:8335:8437:8513:8716:8921
1700237,140,899:1998:2059:8817
145731,138,37:138:221:337:413:854:1059:1570:1594:1605:2053:3071:3261:4386:4559:4944:4972:5253:5714:5803:6249:6390:6536:6704:6796:6808:7667:7718:7916:8254:8275:8898:9522:9592
666153,348,25:44:47:219:338:515:555:852:898:1063:1080:1315:1357:1665:1770:2089:2156:2162:2200:2368:2419:2771:2804:2815:3066:3390:3593:3930:4264:4433:4474:4530:4551:4720:4831:4878:4899:4961:4968:5002:5042:5148:5231:5258:5391:5741:5862:5879:5917:5937:6222:6302:6345:6454:6457:6859:7138:7241:7438:7533:7571:7682:7745:7769:8091:8099:8288:8437:8463:8479:8497:8809:8926:8983:9111:9236:9277:9604:9702
83610,495,417:424:434:1061:2279:3523:3749:5627:5680:6059:6063:7384:8489:8530:8817:8980:9073
531683,441,2:97:134:149:197:277:278:287:392:628:630:1050:1530:1780:1823:1832:2103:2307:2369:2606:2641:2642:3739:4114:4234:4577:4674:4718:4917:5475:5515:5530:5542:5974:6042:7054:7171:7454:7507:7667:8174:8787:8927:8931:9031:9187:9479:9552:9685:9755:9807
940310,188,123:147:178:278:330:334:393:468:569:573:735:854:931:1514:1539:2041:2340:2982:3026:3261:3498:4110:4264:4342:4460:4565:5040:5231:5357:6178:6521:6536:6935:7194:7312:7422:7667:7682:7689:8399:8760:8837:8903:9052:9724
771337,183,55:1061:2684:3373:4382:4898:5231:5294:5482:7755:8817:9892
